genome	Kingdom	Phylum	Class	Order	Family	Genus	Species	Organism
GCA_000009765.2_ASM976v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces avermitilis	Streptomyces avermitilis MA-4680 = NBRC 14893 MA-4680
GCA_000010605.1_ASM1060v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus	Streptomyces griseus subsp. griseus NBRC 13350
GCA_000091305.1_ASM9130v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scabiei	Streptomyces scabiei 87.22 87.22
GCA_000092385.1_ASM9238v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces milbemycinicus	Streptomyces bingchenggensis BCW-1 BCW-1
GCA_000147815.3_ASM14781v3_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces violaceusniger_A	Streptomyces violaceusniger Tu 4113 Tu 4113
GCA_000148465.1_Scla_1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces clavuligerus	Streptomyces clavuligerus ATCC 27064
GCA_000154885.1_ASM15488v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces goshikiensis	Streptomyces sp. Mg1
GCA_000154905.1_ASM15490v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000154905	Streptomyces sp. SPB074
GCA_000154945.1_ASM15494v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces pristinaespiralis	Streptomyces pristinaespiralis ATCC 25486 ATCC 25486
GCA_000154965.1_ASM15496v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sviceus	Streptomyces sviceus ATCC 29083 ATCC 29083
GCA_000156435.1_ASM15643v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces viridosporus	Streptomyces viridosporus ATCC 14672 ATCC 14672
GCA_000156455.1_ASM15645v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces parvus	Streptomyces filamentosus NRRL 15998 NRRL 15998
GCA_000156475.1_ASM15647v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albidoflavus	Streptomyces albidoflavus J1074
GCA_000156695.2_ASM15669v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces parvus	Streptomyces filamentosus NRRL 11379 NRRL 11379
GCA_000158855.1_ASM15885v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000213055	Streptomyces sp. SPB78
GCA_000158895.1_ASM15889v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000158895	Streptomyces sp. C
GCA_000158915.1_ASM15891v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces himastatinicus	Streptomyces himastatinicus ATCC 53653 ATCC 53653
GCA_000158935.1_ASM15893v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces anthocyanicus	Streptomyces lividans TK24 TK24
GCA_000158955.1_ASM15895v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces viridochromogenes_B	Streptomyces viridochromogenes DSM 40736 DSM 40736
GCA_000158975.1_ASM15897v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces fungicidicus	Streptomyces griseoflavus Tu4000 Tu4000
GCA_000162775.1_ASM16277v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sennicomposti	Streptomyces sp. e14
GCA_000163875.1_Strep_clav_ATCC27064_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces clavuligerus	Streptomyces clavuligerus ATCC 27064
GCA_000177175.2_ASM17717v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus	Streptomyces sp. ACT-1
GCA_000177195.2_ASM17719v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000177195	Streptomyces sp. SirexAA-E
GCA_000179195.1_ASM17919v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000213055	Streptomyces sp. SA3_actG
GCA_000179215.1_ASM17921v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000213055	Streptomyces sp. SA3_actF
GCA_000203835.1_ASM20383v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces anthocyanicus	Streptomyces coelicolor A3(2) -
GCA_000204605.2_ASM20460v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseoaurantiacus	Streptomyces griseoaurantiacus M045 M045
GCA_000220705.2_ASM22070v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces xinghaiensis	Streptomyces xinghaiensis S187 S187
GCA_000225525.2_ASM22552v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces zinciresistens	Streptomyces zinciresistens K42 K42
